z,x,y,before_feature_coordinate_count,before_overflow,before_coordinate_count,before_tile_bytes,after_feature_coordinate_count,after_overflow,after_coordinate_count,after_coordinate_count_unbounded,after_truncated,after_feature_count,after_tile_bytes,after_seconds
7,97,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,97,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,97,45,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,46,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,47,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,48,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,49,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,50,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,51,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,52,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,53,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,54,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,55,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,56,0,0,0,0,0,0,0,0,False,0,0,0.005
7,97,57,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,41,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,42,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,43,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,44,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,45,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,46,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,47,0,0,0,0,0,0,0,0,False,0,0,0.005
7,98,48,505,0,1151,3130,922,0,2073,2073,False,4,4980,0.047
7,98,49,400,0,807,2487,867,0,1730,1730,False,7,4709,0.035
7,98,50,3117,0,6132,15718,5508,0,11640,11640,False,5,27956,0.210
7,98,51,761,0,1259,3436,1201,0,2460,2460,False,4,6291,0.047
7,98,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,98,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,98,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,98,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,98,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,98,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,47,562,0,576,1661,562,0,686,686,False,3,1971,0.017
7,99,48,2712,0,6078,14963,5588,0,11666,11666,False,5,27420,0.217
7,99,49,2267,0,9938,25566,4560,0,19832,19832,False,14,47250,0.368
7,99,50,4179,0,9129,23818,9084,0,18770,18770,False,11,45335,0.350
7,99,51,2430,0,9158,23247,5269,0,17109,17109,False,9,40045,0.342
7,99,52,252,0,493,1501,414,0,907,907,False,4,2339,0.025
7,99,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,99,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,47,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,48,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,49,1877,0,4387,11707,3776,0,9465,9465,False,11,23140,0.182
7,100,50,5458,0,14372,37519,11098,0,27861,27861,False,13,67962,0.531
7,100,51,3793,0,16155,41730,7154,0,29718,29718,False,19,71618,0.547
7,100,52,5987,0,12816,31088,10273,0,23205,23205,False,7,52088,0.484
7,100,53,1608,0,4002,9868,3521,0,7523,7523,False,5,16965,0.158
7,100,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,100,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,46,0,0,0,0,0,0,0,0,False,0,0,0.013
7,101,47,101,0,101,500,325,0,426,426,False,2,1323,0.012
7,101,48,1401,0,2416,6472,2701,0,5117,5117,False,5,12602,0.092
7,101,49,5638,0,11643,29596,11912,0,23729,23729,False,7,56909,0.427
7,101,50,4544,0,14195,36880,7370,0,26933,26933,False,16,65324,0.522
7,101,51,9290,0,19411,51091,14619,0,35324,35324,False,12,87766,0.590
7,101,52,9298,0,26479,67686,16563,0,49136,49136,False,10,119266,0.803
7,101,53,1710,0,6489,15780,2826,0,12053,12053,False,12,27407,0.224
7,101,54,2167,0,3871,9439,4134,0,8005,8005,False,5,18113,0.156
7,101,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,101,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,47,4054,0,6986,17639,5873,0,12859,12859,False,5,30893,0.220
7,102,48,5948,0,9988,25196,9824,0,20474,20474,False,7,48842,0.358
7,102,49,4035,0,11740,30169,8031,0,24796,24796,False,13,59500,0.446
7,102,50,7334,0,16671,42822,12314,0,29225,29225,False,9,70856,0.550
7,102,51,6183,0,17260,42280,9106,0,31625,31625,False,14,73128,0.586
7,102,52,2623,0,8782,23451,4727,0,15781,15781,False,17,39220,0.267
7,102,53,4747,0,18000,45166,7987,0,33164,33164,False,10,78159,0.604
7,102,54,3407,0,8307,21856,5970,0,15155,15155,False,9,37417,0.251
7,102,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,102,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,47,825,0,1305,3421,1546,0,2851,2851,False,3,6960,0.054
7,103,48,3992,0,15844,41173,6672,0,29729,29729,False,19,72335,0.526
7,103,49,3739,0,14035,36667,8638,0,28297,28297,False,15,68894,0.519
7,103,50,4474,0,16749,43266,8788,0,32593,32593,False,14,78737,0.588
7,103,51,8160,0,18768,45055,13622,0,35708,35708,False,14,80802,0.667
7,103,52,2821,0,7271,18456,4294,0,14428,14428,False,12,34363,0.261
7,103,53,6407,0,21131,56150,9705,0,40967,40967,False,20,102843,0.662
7,103,54,5715,0,15852,42046,9724,0,30033,30033,False,14,75312,0.492
7,103,55,0,0,0,0,0,0,0,0,False,0,0,0.005
7,103,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,103,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,104,47,404,0,466,1512,671,0,1137,1137,False,3,3128,0.024
7,104,48,4541,0,15861,42708,9690,0,30346,30346,False,19,77291,0.506
7,104,49,7666,0,21154,57416,13587,0,42811,42811,False,19,109357,0.698
7,104,50,4988,0,17309,45638,9556,0,36987,36987,False,20,91929,0.632
7,104,51,8384,0,18396,44463,16004,0,37704,37704,False,9,85713,0.729
7,104,52,3259,0,6878,16725,5142,0,13371,13371,False,8,30421,0.260
7,104,53,4268,0,13859,35269,7418,0,27831,27831,False,10,65918,0.503
7,104,54,4160,0,16319,41320,6857,0,29715,29715,False,10,70670,0.534
7,104,55,0,0,0,0,0,0,0,0,False,0,0,0.005
7,104,56,0,0,0,0,0,0,0,0,False,0,0,0.004
